drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0018542,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",MONDO:0019142,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C0151664,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C0264714,0,['CHEBI:41879'],,missing_drug
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C0948998,0,['CHEBI:41879'],UMLS:C0948998,missing_drug+missing_disease
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C1996939,0,['CHEBI:41879'],UMLS:C1996939,missing_drug+missing_disease
"['CHEBI:134850', 'CHEBI:6456']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:6456']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134880', 'CHEBI:39585']",MONDO:0020128,1,['CHEBI:39585'],,missing_drug
"['CHEBI:134893', 'CHEBI:52010']",MONDO:0011786,1,['CHEBI:52010'],,missing_drug
"['CHEBI:135096', 'CHEBI:16914']",UMLS:C1271063,0,[],UMLS:C1271063,missing_disease
"['CHEBI:135096', 'CHEBI:16914']",UMLS:C2609048,1,[],UMLS:C2609048,missing_disease
"['CHEBI:135207', 'CHEBI:32219']",HP:0012735,1,['CHEBI:135207'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",CHEBI:41922,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",HP:0001681,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",HP:0002910,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0001531,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0005027,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0005098,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0005628,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0006716,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0007254,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0016027,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0019142,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
