condition_id_norm,label,drug_set
MONDO:0018570,0,"['CHEBI:12777', 'CHEBI:28659']"
UBERON:0001008,0,"['CHEBI:12777', 'CHEBI:28659']"
UMLS:C0573813,0,"['CHEBI:12777', 'CHEBI:28659']"
MONDO:0007016,1,"['CHEBI:12777', 'CHEBI:28934']"
MONDO:0100471,1,"['CHEBI:12777', 'CHEBI:28934']"
MONDO:0007016,1,"['CHEBI:12777', 'DRUGBANK:DB13961']"
MONDO:0100471,1,"['CHEBI:12777', 'DRUGBANK:DB13961']"
UMLS:C3838797,1,"['CHEBI:127780', 'CHEBI:465284']"
HP:0002018,1,"['CHEBI:131391', 'CHEBI:16709', 'DRUGBANK:DB10344', 'UNII:61ZBX54883']"
MONDO:0001942,1,"['CHEBI:131391', 'CHEBI:16709', 'DRUGBANK:DB10344', 'UNII:61ZBX54883']"
MONDO:0006844,1,"['CHEBI:131391', 'CHEBI:190298']"
MONDO:0005083,1,"['CHEBI:131526', 'CHEBI:29385']"
MONDO:0006608,1,"['CHEBI:131526', 'CHEBI:29385']"
MONDO:0024268,1,"['CHEBI:131526', 'CHEBI:29385']"
MONDO:0024610,1,"['CHEBI:131526', 'CHEBI:29385']"
MONDO:0000440,1,"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:25107', 'CHEBI:32588', 'CHEBI:32954']"
UMLS:C4509972,1,"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:25107', 'CHEBI:32588', 'CHEBI:32954']"
MONDO:0000440,1,"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32029', 'CHEBI:32599', 'CHEBI:3309']"
UMLS:C4509972,1,"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32029', 'CHEBI:32599', 'CHEBI:3309']"
HP:0000217,1,"['CHEBI:131527', 'CHEBI:17924', 'CHEBI:25107', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:3312', 'UNII:K679OBS311']"
HP:0000217,1,"['CHEBI:131527', 'CHEBI:25107', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:3312', 'UNII:K679OBS311']"
MONDO:0005302,1,"['CHEBI:132233', 'CHEBI:4469']"
EFO:0004338,1,"['CHEBI:132967', 'CHEBI:132975']"
EFO:0004338,1,"['CHEBI:132967', 'CHEBI:132975', 'CHEBI:63580']"
MONDO:0005414,1,"['CHEBI:132967', 'CHEBI:132975', 'CHEBI:63580']"
CHEBI:63580,0,"['CHEBI:132967', 'CHEBI:63580']"
CHEBI:63580,0,"['CHEBI:132975', 'CHEBI:63580']"
MONDO:0005155,1,"['CHEBI:133009', 'CHEBI:63580', 'CHEBI:85083']"
MONDO:0005155,1,"['CHEBI:133009', 'CHEBI:85083']"
MONDO:0005354,1,"['CHEBI:133009', 'CHEBI:85083']"
UMLS:C4049392,1,"['CHEBI:133009', 'CHEBI:85083']"
UMLS:C4049395,1,"['CHEBI:133009', 'CHEBI:85083']"
UMLS:C4049418,1,"['CHEBI:133009', 'CHEBI:85083']"
UMLS:C4049420,1,"['CHEBI:133009', 'CHEBI:85083']"
UMLS:C4049431,1,"['CHEBI:133009', 'CHEBI:85083']"
UMLS:C4049435,1,"['CHEBI:133009', 'CHEBI:85083']"
CHEBI:85083,1,"['CHEBI:133009', 'CHEBI:85083', 'UNII:0570F37359']"
MONDO:0005155,1,"['CHEBI:133009', 'CHEBI:85083', 'UNII:0570F37359']"
MONDO:0016264,1,"['CHEBI:133009', 'CHEBI:85083', 'UNII:0570F37359']"
UNII:5QS67N4551,1,"['CHEBI:133009', 'CHEBI:85083', 'UNII:0570F37359']"
MONDO:0001465,1,"['CHEBI:133011', 'CHEBI:8310']"
MONDO:0021201,1,"['CHEBI:133011', 'CHEBI:8310']"
UMLS:C0016397,1,"['CHEBI:133011', 'CHEBI:8310']"
UMLS:C0796611,1,"['CHEBI:133021', 'CHEBI:2038']"
UMLS:C0796611,1,"['CHEBI:133021', 'CHEBI:28680']"
UMLS:C0796611,1,"['CHEBI:133021', 'CHEBI:50131']"
MONDO:0002083,0,"['CHEBI:133021', 'CHEBI:6076']"
