drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",HP:0001681,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",HP:0002625,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",HP:0002910,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",HP:0025343,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",HP:0040298,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0000755,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0002304,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0004743,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0005098,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0005154,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0005279,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0005386,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0005399,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0006716,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0007254,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0008560,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0011962,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",MONDO:0019142,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",UMLS:C0854381,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",UMLS:C0855239,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",UMLS:C0877371,0,['UNII:2W8I1S6T5L'],,missing_drug
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",UMLS:C1277190,0,['UNII:2W8I1S6T5L'],UMLS:C1277190,missing_drug+missing_disease
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",UMLS:C1277614,0,['UNII:2W8I1S6T5L'],UMLS:C1277614,missing_drug+missing_disease
"['CHEBI:16469', 'UNII:2W8I1S6T5L']",UMLS:C3805038,0,['UNII:2W8I1S6T5L'],UMLS:C3805038,missing_drug+missing_disease
"['CHEBI:16684', 'CHEBI:4534']",UMLS:C0947873,1,[],UMLS:C0947873,missing_disease
"['CHEBI:16684', 'CHEBI:4639']",UMLS:C0947873,1,['CHEBI:4639'],UMLS:C0947873,missing_drug+missing_disease
